Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Riistavuorenkuja 4 F,60.21828909999999,24.8864482,1h+kk+vh+kph,1,0,29 m²,1966,739 €/kk 
Kustinpolku 17 B,60.218499,24.924674,2h+kt,2,0,45 m²,2023,1 060 €/kk 
Rekipellontie 2 A 7,60.23833519999999,25.0991291,3h+k+lasitettu parv,3,0,74 m²,1990,1 160 €/kk 
Inkoonkatu 4-6,60.1930848,24.9407582,2h + Keittiö + parvi,2,0,45 m²,1934,1 300 €/kk 
Sireenikatu 4 B,60.1953433,24.8963275,2h+kk+kph+p,2,0,"50,5 m²",1996,1 005 €/kk 
Luoteisväylä 18-20,60.16486159999999,24.860514,1H+KK,1,0,"29,5 m²",1958,878 €/kk 
Näyttelijäntie 24 E,60.2315822,24.8923989,1h+kt,1,0,25 m²,1959,749 €/kk 
Työpajankatu 17,60.18752689999999,24.9807141,3H+KT,3,0,53 m²,2022,2 040 €/kk 
Vinsentinaukio 4,60.18010150000001,24.9747363,2H+KT,2,0,44 m²,2021,1 278 €/kk 
Ristipellontie 6,60.23875799999999,24.851662,2H+KT,2,0,"53,5 m²",2011,949 €/kk 
Livornonkatu 3,60.15804199999999,24.9147732,1H+KT,1,0,"28,5 m²",2017,917 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"28,5 m²",2023,977 €/kk 
Haukilahdenkuja 13,60.19674699999999,24.9706345,2H+KK,2,0,46 m²,2011,1 091 €/kk 
Vanhaistentie 1 c B,60.2412031,24.8860531,1h+kt,1,0,"23,5 m²",2022,718 €/kk 
Retkeilijänkatu 1,60.20580400000001,25.1203533,1H+KT,1,0,31 m²,2017,799 €/kk 
Roihuvuorentie 30,60.2029666,25.0589313,1H+KK,1,0,26 m²,1956,706 €/kk 
Rajatie 5a A,60.2626544,25.0190923,2h+kk+s,2,1,"49,5 m²",2009,1 042 €/kk 
Saanatunturintie 2 A,60.23510539999999,25.1270304,1h+k+kph,1,0,30 m²,1973,638 €/kk 
Pläsinpellonkuja 4B,60.265272,24.9860301,2h+avok+ransk.parv.,2,0,"43,5 m²",2017,790 €/kk 
Jauhajankuja 1 C,60.20457990000001,25.1497846,2h+kt+s,2,1,53 m²,2015,1 060 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,41 m²,2023,1 235 €/kk 
Jätkäsaarenkuja 16 G,60.1583743,24.9165935,6h+k+s,6,1,141 m²,2016,2 928 €/kk 
Vanha Helsingintie 19,60.2491394,25.0094989,1h + avok,1,0,34 m²,2023,940 €/kk 
Kotinummentie 47,60.26391249999999,25.0129931,3H+K,3,0,"80,5 m²",1993,"1242,01 €/kk "
Hilapellontie 4,60.2402738,24.8373125,3H+K,3,0,55 m²,1970,1 069 €/kk 
Vuotie 49b A,60.2072849,25.1505648,2h+kt,2,0,"43,5 m²",2022,960 €/kk 
Korppaanmäentie 12,60.20441340000001,24.8953577,2h+kk+s,2,1,"41,5 m²",1995,1 000 €/kk 
Leonkatu 21,60.1845736,24.9831232,2H+KT,2,0,44 m²,2016,1 349 €/kk 
Mechelininkatu 6,60.17098900000001,24.9200346,1H+K,1,0,"37,5 m²",1932,1 019 €/kk 
Reiherintie 1,60.1735347,25.0381177,2h+k,2,0,"56,5 m²",1979,935 €/kk 
Wavulinintie 1,60.15412229999999,24.8789073,"2h, 2ak, 2kph",2,0,71 m²,1954,3 745 €/kk 
Messeniuksenkatu 1B,60.1879025,24.917333,3H+KT,3,0,77 m²,1933,1 850 €/kk 
Tilkankuja 6 B 12,60.1977244,24.8966348,3h+k+lasitettu parv,3,0,"75,5 m²",1995,1 380 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,34 m²,2023,1 040 €/kk 
Liisankatu 6 B,60.17412760000001,24.9578446,2h+k,2,0,76 m²,1928,1 390 €/kk 
Kivipadontie 6h B,60.233337,24.948913,2h+kt+s,2,1,"45,5 m²",2023,1 020 €/kk 
Suonotkontie 4 C,60.23291039999999,24.9346565,3h+k,3,0,78 m²,1963,1 288 €/kk 
Kallvikintie 61,60.2084962,25.1364021,2H+KK+S,2,1,54 m²,2000,1 059 €/kk 
Kivipadontie 6h A,60.233337,24.948913,2h+kt+s,2,1,"46,5 m²",2023,1 035 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+khh+s+vh,3,1,68 m²,2023,1 585 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"27,5 m²",2023,931 €/kk 
Leikosaarenkuja 4 A,60.2021198,25.1387221,2h+k,2,0,60 m²,1992,879 €/kk 
KOKKOKALLIONTIE 3 E,60.2287889,24.8515372,2h+kt,2,0,36 m²,1974,823 €/kk 
Tyynenmerenkatu 5,60.1581676,24.9214932,2H+KT,2,0,"47,5 m²",2012,1 222 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,28 m²,2023,972 €/kk 
Kivikonkaari 43 B,60.23215649999999,25.0600402,2h+k+kph+wc+p,2,0,"64,5 m²",1995,950 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+s,3,1,"71,5 m²",2023,1 605 €/kk 
Näyttelijäntie 24 E,60.2315822,24.8923989,3h+kt,3,0,"62,5 m²",1959,1 259 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,"30,5 m²",2023,870 €/kk 
Puuskakuja 23,60.17068519999999,25.0834538,4H+K+S,4,1,98 m²,1996,1 699 €/kk 
Laivastokatu 14,60.1685172,24.9673533,1h+k+parvi,1,0,29 m²,1912,900 €/kk 
Katontekijänkuja 1,60.2529528,25.0232631,2H+KT+S,2,1,"58,5 m²",2013,1 090 €/kk 
Venemestarintie 4 F,60.20670279999999,25.1314533,2h+k,2,0,"51,5 m²",1964,879 €/kk 
Tilkankatu 23b B,60.2008646,24.8956878,2h+k+s,2,1,"63,5 m²",1994,1 099 €/kk 
Kolsarintie 1 A,60.2352632,24.8563872,"4h, kk, kph, vh, p",4,0,62 m²,1964,990 €/kk 
Vironkatu 12,60.1722129,24.9537964,1h + k,1,0,31 m²,1907,1 300 €/kk 
HENRIKINTIE 5 D,60.22620610000001,24.8512926,1H+KK,1,0,33 m²,1978,795 €/kk 
Mäntytie 11 A,60.1922371,24.8994208,1h+avok+kph,1,0,25 m²,1951,729 €/kk 
Porthaninkatu 9 C,60.1826951,24.9526686,2h+k+kph+lasitettu p,2,0,49 m²,1961,980 €/kk 
Jaalaranta 9 A,60.1603203,24.911435,2h+avok+kph+s+parv,2,1,"52,5 m²",1995,1 100 €/kk 
Kalkkihiekantie 2 C,60.20191289999999,25.1430469,2h+k+s,2,1,59 m²,1997,1 065 €/kk 
Ansaritie 2-4 C,60.2089507,24.8859766,1h+kt,1,0,29 m²,1960,799 €/kk 
Jarrumiehenkatu 2B,60.2013187,24.9414211,"4h+k+ kph+parv / 4+kitchen, bathroom, balcony",4,0,"68,5 m²",1976,649 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"34,5 m²",2023,1 018 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"43,5 m²",2023,1 409 €/kk 
Jäkärläntie 8 F,60.2456688,25.0851273,3h+k,3,0,80 m²,1977,1 295 €/kk 
Tähtisaranpolku 3,60.2311021,25.057864,4H+K,4,0,93 m²,2017,1 655 €/kk 
Tyynenmerenkatu 3 D 79,60.1590551,24.9208259,2h+kk+lasitettu parv,2,0,"47,5 m²",2014,1 140 €/kk 
Postiljooninkatu 17 B,60.2174506,24.9242351,2h+kt,2,0,"42,5 m²",2020,1 035 €/kk 
Ansaritie 2-4 A,60.2089507,24.8859766,1h+kt,1,0,25 m²,1960,779 €/kk 
Hämeentie 34,60.18402820000001,24.9590296,1H+KK+Parvi,1,0,24 m²,1939,710 €/kk 
Telakkakatu 4 A,60.157253,24.9335337,2h+k+s,2,1,69 m²,2012,2 250 €/kk 
Kanavakatu 3,60.1661508,24.9648117,1h + avok,1,0,33 m²,1929,1 500 €/kk 
Koskustie 4,60.25316840000001,24.8549697,2H+KK,2,0,"49,5 m²",1983,"881,05 €/kk "
Päijänteentie 4-6,60.1919376,24.9627757,2H+K,2,0,"46,5 m²",1953,1 073 €/kk 
Kivipadontie 6h A,60.233337,24.948913,3h+kt+s,3,1,"66,5 m²",2023,1 380 €/kk 
Pääskylänrinne 8 A,60.188167,24.966862,2h+kk,2,0,"46,5 m²",1948,999 €/kk 
Leikosaarentie 12 D,60.2029747,25.1379172,3h+k+s,3,1,"77,5 m²",1995,1 149 €/kk 
Lupajantie 2 D,60.2326683,25.1068718,3h+kt,3,0,"51,5 m²",2022,1 139 €/kk 
Työpajankatu 17,60.18752689999999,24.9807141,2H+KT,2,0,52 m²,2022,1 845 €/kk 
Pakilantie 8 G,60.230429,24.9360184,1h+kk+kph+vh,1,0,30 m²,1962,720 €/kk 
Agronominkatu 7,60.2334133,25.0345754,1H+KT,1,0,32 m²,2011,723 €/kk 
Untamontie 12,60.213113,24.9553064,"1h, erillinen keittiö, kh, parveke.",1,0,31 m²,1940,850 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"38,5 m²",2023,1 237 €/kk 
Leikosaarenkuja 4 A,60.2021198,25.1387221,3h+k,3,0,72 m²,1992,1 099 €/kk 
Keinulaudantie 1 A,60.2353979,25.0792233,1h+kk+kph,1,0,25 m²,1967,665 €/kk 
Leikosaarentie 12 C,60.20284290000001,25.1374301,2h+kk+s,2,1,45 m²,1995,829 €/kk 
Saanatunturintie 2 G,60.23510539999999,25.1270304,1h+kk+kph,1,0,30 m²,1973,649 €/kk 
Nordenskiöldinkatu 2,60.18560770000001,24.9164271,3H+KK,3,0,70 m²,1937,1 550 €/kk 
Suolakivenkatu 16,60.1892107,25.0280842,2H+KK+P+S,2,1,49 m²,2004,960 €/kk 
Agricolankatu 7 D,60.1844262,24.9541676,2h+k+kph,2,0,"49,8 m²",1924,1 350 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,3-4h+kt,3,0,65 m²,2023,2 190 €/kk 
Ruusulankatu 19 A 10,60.1832996,24.9231716,1+2,1,0,54 m²,1923,1 250 €/kk 
Hämeentie 34,60.18402820000001,24.9590296,3h+halli+kph+k+wc,3,0,83 m²,1939,1 550 €/kk 
Meritullinkatu 17 B,60.17319870000001,24.9584661,4h+k+2kph+eril.wc+takkahuone,4,0,127 m²,1936,2 450 €/kk 
Niittaajankatu 8a,60.19188399999999,25.0287458,"2h, avok, kps, s, lasitettu pa",2,1,"57,5 m²",2016,1 190 €/kk 
Fregatti Dygdenin kuja 5,60.1812633,24.9755761,2H+KT,2,0,47 m²,2021,1 340 €/kk 
Luuvakuja 2-4 B,60.24644499999999,25.0069771,2h+k+kph+parveke,2,0,46 m²,1971,799 €/kk 
Hämeentie 48,60.18663950000001,24.9609761,2H+KT,2,0,"43,5 m²",1939,1 150 €/kk 
Viides linja 4,60.18274710000001,24.9543578,1H+K,1,0,"49,7 m²",1946,999 €/kk 
Töölöntullinkatu 4a B,60.189696,24.913938,"2h, kt, s, lasitettu p",2,1,43 m²,2023,1 299 €/kk 
Ajomiehentie 8 A,60.2384242,24.8496451,3h+k+s,3,1,75 m²,2011,1 249 €/kk 
Karavaanikuja 2,60.20646420000001,25.1195754,2H+KT,2,0,"47,5 m²",2017,967 €/kk 
Kauppalantie 23,60.2155793,24.8985433,1H+K,1,0,39 m²,1961,880 €/kk 
Maria Jotunin tie 6 A,60.2267739,24.8998817,3h+k+kph+eril.wc+vh+las.parvek,3,0,"80,5 m²",1972,1 390 €/kk 
Mannerheimintie 170,60.2035984,24.8985839,"1h, ak, kph, wc",1,0,24 m²,2018,1 821 €/kk 
Kivisaarentie 4 C,60.2201154,25.1386748,1h+kk+kph,1,0,"23,5 m²",1965,699 €/kk 
Uudenmaankatu 39 C,60.16249380000001,24.9348501,1h+k+kph,1,0,30 m²,1938,880 €/kk 
Tulisuontie 20 C,60.2039841,25.0758367,4h+k+s,4,1,"86,5 m²",1998,1 485 €/kk 
Pihlajatie 25 A,60.19407260000001,24.9025535,2h+k+kph,2,0,43 m²,1941,890 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"37,5 m²",2023,1 215 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"43,5 m²",2023,1 425 €/kk 
Näyttelijäntie 24 H,60.23249769999999,24.8925323,2h+kt,2,0,"49,5 m²",1959,989 €/kk 
Vaakamestarinpolku 2,60.27734129999999,25.0222977,3H+K,3,0,80 m²,1980,1 160 €/kk 
Kirjatyöntekijänkatu 10 B 27,60.1760737,24.9563424,2h + k,2,0,55 m²,1935,1 300 €/kk 
Pajuniityntie 3-5 B,60.2170748,24.905744,1h+kt,1,0,"37,5 m²",2016,824 €/kk 
Kontulankaari 4 E,60.2376216,25.0782168,2h+kk,2,0,43 m²,1969,849 €/kk 
Karibiankuja 4,60.15525469999999,24.9076532,3H+KT,3,0,"57,5 m²",2020,1 470 €/kk 
Pietarinkatu 24,60.15663180000001,24.9430596,"2h, ak, kph, wc",2,0,42 m²,1905,2 256 €/kk 
Pohjoisranta 24 A,60.17586170000001,24.9600766,2h+kk,2,0,"53,5 m²",1961,1 145 €/kk 
Von Daehnin katu 7,60.23150309999999,25.0456407,3 H + K + S,3,1,75 m²,2008,1 338 €/kk 
Kivelänkatu 5-7,60.18025669999999,24.9257701,2h+avok,2,0,"42,5 m²",1951,1 100 €/kk 
Mikonkatu 25 A,60.1728161,24.9452892,"2 h, kk, kph, vh, p",2,0,43 m²,1974,1 450 €/kk 
Yliskyläntie 2 A,60.1809921,25.0510924,2H+KK+S,2,1,"40,5 m²",1996,865 €/kk 
Hietalahdenkatu 8,60.1631932,24.9278216,2h+k+parveke,2,0,42 m²,2015,1 200 €/kk 
Liisankatu 16,60.1737407,24.9543656,6h+k+kph+wc,6,0,19 m²,1905,500 €/kk 
Tapulikaupungintie  13,60.27708680000001,25.0351375,3H+K+S,3,1,62 m²,2000,1 135 €/kk 
Kalteentie 2 E,60.2644467,25.0849644,3h+k,3,0,68 m²,1987,999 €/kk 
Rantakartanontie 19 A,60.2158628,25.0981187,2h+k,2,0,51 m²,2000,969 €/kk 
Arabiankatu 4,60.2067171,24.9767752,1H+TK,1,0,45 m²,2014,1 039 €/kk 
Soittajantie 4,60.2404071,24.8731925,2H+KK,2,0,47 m²,2009,"917,29 €/kk "
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,41 m²,2023,1 220 €/kk 
Kustinpolku 17 A,60.218499,24.924674,2h+kt,2,0,46 m²,2023,1 090 €/kk 
Lintulahdenaukio 8 A,60.18484089999999,24.9621639,3h+k+s,3,1,75 m²,2000,1 499 €/kk 
Rantakartanontie 19 A,60.2158628,25.0981187,2h+k,2,0,51 m²,2000,969 €/kk 
Vuotie 49a A,60.2072362,25.1496668,2h+kt,2,0,"41,5 m²",2023,1 030 €/kk 
Leonkatu 21,60.1845736,24.9831232,2H+K,2,0,53 m²,2016,1 450 €/kk 
Punakiventie 15,60.213925,25.1439093,2H+KT,2,0,"36,5 m²",2018,928 €/kk 
Hernesaarenkatu 17,60.1564345,24.9303921,3H+KT,3,0,61 m²,1929,1 560 €/kk 
Paukkulantie 2 C,60.23152019999999,25.0545458,1h+kt,1,0,"28,5 m²",2020,750 €/kk 
Tapulikaupungintie  13,60.27708680000001,25.0351375,3H+K+S,3,1,62 m²,2000,1 140 €/kk 
Laivalahdenportti 3,60.1923723,25.0335358,1H+KK,1,0,"28,5 m²",1996,750 €/kk 
Roihuvuorentie 30,60.2029666,25.0589313,1H+KK,1,0,26 m²,1956,706 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+khh+s+vh,3,1,68 m²,2023,1 600 €/kk 
Maasälväntie 4,60.23615849999999,25.0095793,"2h, kk, kph, lasitettu parveke",2,0,46 m²,1964,890 €/kk 
Kotisaarenkatu 3 F,60.20283389999999,24.9700622,2h+k+s,2,1,"60,5 m²",2009,1 333 €/kk 
BULEVARDI 32 A,60.1631714,24.9346154,4H+K,4,0,"115,3 m²",1937,2 896 €/kk 
Itälahdenkatu 9-11 A,60.149335,24.8821717,2h+k+s,2,1,48 m²,2011,1 210 €/kk 
Liuskepolku 3,60.2387725,25.0191913,2+kk,2,0,"50,5 m²",2012,889 €/kk 
Kirstinkatu 4 C,60.1862862,24.9466492,1h+kph,1,0,32 m²,1907,885 €/kk 
Poutamäentie 12 B,60.2171458,24.8546527,1h+avok+kph,1,0,23 m²,1960,610 €/kk 
Näyttelijäntie 24 H,60.23249769999999,24.8925323,1h+kt,1,0,25 m²,1959,749 €/kk 
Roihuvuorentie 20 F-H,60.2004143,25.0569875,3H+K,3,0,63 m²,1956,1 009 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,31 m²,2023,925 €/kk 
Hämeentie 17 a as 21,60.18509969999999,24.9610716,5h+k+s+lasitettu parv,5,1,"97,5 m²",1998,2 040 €/kk 
Paatsamatie 14 B,60.22239579999999,24.8911501,1h+kt,1,0,"31,5 m²",2023,865 €/kk 
Messeniuksenkatu 1B,60.1879025,24.917333,1H+KT,1,0,"38,5 m²",1933,1 020 €/kk 
Albertinkatu 31,60.16509790000001,24.9324138,"2h, k, kph",2,0,53 m²,1941,3 471 €/kk 
Kellosilta 8b,60.20054099999999,24.937085,3H+KT+S,3,1,69 m²,2023,1 648 €/kk 
Suezinkatu 3,60.15848130000001,24.9205043,2H+KK,2,0,"53,5 m²",2014,1 203 €/kk 
Vanhaistentie 1b B,60.2409114,24.8858031,3H+KT,3,0,62 m²,2022,1 215 €/kk 
Maapadontie 3 D,60.23193149999999,24.9463979,3h+k,3,0,"73,5 m²",1973,1 099 €/kk 
Piispantie 3 D,60.2294869,24.8444383,2h+kt,2,0,51 m²,1964,899 €/kk 
Vuotie 47 C,60.207069,25.148776,3H+KT+VIH,3,0,"75,5 m²",2023,1 699 €/kk 
Päästäisenkuja 1,60.2666844,24.9806526,3H+K,3,0,67 m²,1985,1 269 €/kk 
Minna Canthin katu 9,60.18631809999999,24.9187172,1h+kk+kph,1,0,"18,5 m²",1938,675 €/kk 
Mäkitorpantie,60.2259848,24.9542597,1h+avokeittiö+kph+vh,1,0,34 m²,1962,845 €/kk 
Inkoonkatu 6 B,60.1932679,24.941058,1h+kk,1,0,28 m²,1962,800 €/kk 
Kiviparintie 6 C 26,60.22422809999999,25.0716229,2 h + kk,2,0,48 m²,2009,900 €/kk 
Kivipadontie 6h A,60.233337,24.948913,3h+kt,3,0,57 m²,2023,1 255 €/kk 
Karhulantie 8,60.2176515,25.1036107,3H+KT+S,3,1,"64,5 m²",2000,1 100 €/kk 
Näyttelijäntie 24 G,60.23249769999999,24.8925323,1h+kt,1,0,25 m²,1959,729 €/kk 
Lauttasaarentie 27,60.1605735,24.8817031,2H+KK,2,0,47 m²,1958,1 329 €/kk 
Pihlajatie 42 A,60.19607480000001,24.8989555,3h+avok+kph+s,3,1,70 m²,1946,1 195 €/kk 
Hämeentie 33,60.1877858,24.9644239,1h + avok,1,0,19 m²,1962,880 €/kk 
Vuotie 49b A 56,60.2072849,25.1505648,3h+kt,3,0,58 m²,2022,1 240 €/kk 
Katariina Saksilaisen katu 10 B,60.2170028,24.9868688,2h+kk+s,2,1,"43,5 m²",2007,1 129 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,31 m²,2023,920 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,3H+KT+S,3,1,"66,5 m²",2023,1 505 €/kk 
Paasivaarankatu 4 a 5,60.1905732,25.0272074,1h+tupak+s+lasitettu parv,1,1,"38,5 m²",2001,920 €/kk 
LAUTTASAARENTIE 48 A,60.1610515,24.8726533,3 H + KT + S,3,1,"86,5 m²",2011,1 930 €/kk 
Pohjavedenkatu 4,60.2056334,25.136756,"2h, avokeittiö, sauna, parveke",2,1,53 m²,1999,"794,47 €/kk "
Tapulikaupungintie  13,60.27708680000001,25.0351375,4H+K+S,4,1,81 m²,2000,1 370 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,4h+kt,4,0,"73,5 m²",2023,2 460 €/kk 
Keinutie 9,60.2362057,25.0717568,3h+k+lasitettu parveke,3,0,"59,5 m²",1966,1 150 €/kk 
Lintulahdenaukio 6,60.18458109999999,24.962071,2H+K+S,2,1,"59,5 m²",1999,1 248 €/kk 
Hiihtäjäntie 1,60.1956309,25.0285321,2H+KK,2,0,"61,5 m²",2012,1 210 €/kk 
Kurkimäentie 1 B,60.22848759999999,25.0722466,3h+k,3,0,68 m²,1984,1 049 €/kk 
Alppikatu 20,60.1858964,24.9464446,"1h, ak, kph, wc",1,0,31 m²,1907,2 086 €/kk 
Keinutie 9d,60.2364666,25.0698922,3H+KT,3,0,58 m²,2022,1 140 €/kk 
Kustinpolku 17 A,60.218499,24.924674,1h+kt,1,0,"28,5 m²",2023,860 €/kk 
Paatsamatie 14 B,60.22239579999999,24.8911501,1h+kt,1,0,"31,5 m²",2023,850 €/kk 
Kauppiaankatu 5 A,60.16714919999999,24.9653281,2h+kt+s,2,1,"70,5 m²",1903,1 685 €/kk 
Meri-Rastilan tie 40 E,60.20212180000001,25.1299309,2h+kk,2,0,45 m²,1991,849 €/kk 
Kotinummentie 47,60.26391249999999,25.0129931,2H+K,2,0,"60,5 m²",1993,"1001,41 €/kk "
Vanha Helsingintie 19,60.2491394,25.0094989,2h + avok,2,0,34 m²,2023,920 €/kk 
AURINKOTUULENKATU 4 B,60.2074126,25.1590251,1 H + KT,1,0,"53,5 m²",2015,1 025 €/kk 
Mannerheimintie 170,60.2035984,24.8985839,"1h, ak, kph, wc",1,0,23 m²,2018,1 821 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"43,5 m²",2023,1 459 €/kk 
Näyttelijäntie 24 G,60.23249769999999,24.8925323,3h+kt,3,0,63 m²,1959,1 259 €/kk 
Käsityöläisentie 4-10,60.2731769,25.0334204,2H+K,2,0,"58,5 m²",1974,965 €/kk 
Töölönkatu 30b A,60.17873449999999,24.9259975,3h+k,3,0,69 m²,1937,1 150 €/kk 
Jauhajankuja 2 B,60.2046033,25.1499727,2h+kk+s+terassi,2,1,59 m²,2012,1 056 €/kk 
Kivipadontie 6h B,60.233337,24.948913,2h+kt+s,2,1,"45,5 m²",2023,1 010 €/kk 
PITÄJÄNMÄENTIE 35 M,60.2252752,24.8512978,1H+KK,1,0,"31,5 m²",1978,788 €/kk 
Siltavoudintie 14b,60.23200569999999,24.9667719,1h + kk,1,0,23 m²,1963,680 €/kk 
Kaustisenpolku 5,60.23951400000001,24.8793487,3H+K,3,0,"71,5 m²",1974,1 220 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,3-4h+kt,3,0,65 m²,2023,2 180 €/kk 
Kustinpolku 17 A,60.218499,24.924674,2h+kt,2,0,46 m²,2023,1 060 €/kk 
Linnankatu 3 B,60.1663221,24.9671668,2h+k,2,0,"58,5 m²",2017,1 740 €/kk 
Keinulaudantie 2c,60.23522489999999,25.080374,1H+KT,1,0,28 m²,2019,748 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"35,5 m²",2023,1 049 €/kk 
Vattuniemenkuja 8 B,60.1529363,24.8821,2h+kt+s+p,2,1,53 m²,2011,1 232 €/kk 
Alppikatu 15,60.1855594,24.9456283,1h + k,1,0,"26,6 m²",1928,770 €/kk 
TUHKIMONTIE 3-5 A,60.1967192,25.0515087,3H+K,3,0,"68,5 m²",1960,1 160 €/kk 
Näyttelijäntie 24 E,60.2315822,24.8923989,2h+kt,2,0,50 m²,1959,989 €/kk 
Humikkalantie 101,60.23463539999999,25.1028049,"2h, k, kph, parveke",2,0,61 m²,1984,870 €/kk 
Kustinpolku 17 B,60.218499,24.924674,1h+kt,1,0,28 m²,2023,838 €/kk 
Meri-Rastilan tie 5 D,60.20310509999999,25.1166968,3h+k,3,0,68 m²,1992,1 039 €/kk 
Muinaislinnantie,60.2198276,25.1174202,"2h, keittiö, parveke, wc, lämmin varasto",2,0,59 m²,1984,995 €/kk 
Castréninkatu 12 A,60.1847973,24.9458834,1h+avok+kph+lasitettu parveke,1,0,"22,5 m²",1956,718 €/kk 
Albertinkatu 31,60.16509790000001,24.9324138,"1h, kk, kph, wc",1,0,34 m²,1941,2 462 €/kk 
Topeliuksenkatu 41a A,60.18986280000001,24.9116957,2h+kt,2,0,"41,5 m²",2019,1 056 €/kk 
Hämeentie 34,60.18402820000001,24.9590296,2H+KK,2,0,"50,5 m²",1939,1 050 €/kk 
Töölöntorinkatu 5 A,60.17824270000001,24.925232,2h+k,2,0,48 m²,1931,1 200 €/kk 
Neljäs linja 24,60.18413760000001,24.94741,2h + kph + p,2,0,"41,5 m²",1961,1 050 €/kk 
Ristolantie 19,60.21296489999999,24.8941682,2H+K,2,0,48 m²,1959,1 020 €/kk 
Välitalontie 71,60.2458795,24.9257559,"1h,kt,kh,parv.",1,0,22 m²,2023,750 €/kk 
Klaavuntie 8-10 E,60.20927969999999,25.0971015,2h+k,2,0,56 m²,1961,859 €/kk 
Näyttelijäntie 22 E-F,60.231546,24.8925402,2H+K,2,0,50 m²,1959,959 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"43,5 m²",2023,1 425 €/kk 
Kruunuvuorenkatu 2,60.16745049999999,24.9625844,2H+KT,2,0,40 m²,2019,1 203 €/kk 
Matruusinkatu 2 C,60.1666805,24.9752145,1h+kk,1,0,"34,5 m²",1980,899 €/kk 
Agronominraitti 2,60.2339578,25.0354171,2H+KK+S,2,1,55 m²,2005,1 029 €/kk 
Malmin Kauppatie 4 A,60.2482633,25.0035976,4H+K+S,4,1,"90,5 m²",2001,1 530 €/kk 
Kustinpolku 17 A,60.218499,24.924674,3h+kt,3,0,69 m²,2023,1 425 €/kk 
Työnjohtajankatu 11,60.19672420000001,25.0354811,1h + avok,1,0,22 m²,2023,900 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,28 m²,2023,962 €/kk 
Bertha Pauligin katu 2b A,60.20652390000001,25.1506145,2h+kt,2,0,43 m²,2023,965 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"43,5 m²",2023,1 410 €/kk 
Kiviaidankatu 5 A10,60.15456700000001,24.8832675,1h+k+kph+et+las. parveke + häkkivarasto,1,0,"32,5 m²",2017,900 €/kk 
Aleksis Kiven katu 11 a D,60.1899134,24.9524285,2H+KK,2,0,46 m²,1990,995 €/kk 
Rukkilantie 7-9 A 3,60.25145980000001,24.8647514,2h+k+s+p,2,1,"64,5 m²",2000,1 050 €/kk 
Oikokatu 15,60.17599929999999,24.9550658,1H+AVOK+KPH,1,0,32 m²,1928,1 450 €/kk 
Kivikonkaari 20,60.23791189999999,25.0679056,3H+K+S,3,1,73 m²,2000,1 100 €/kk 
Pariisinkatu 4 B,60.2022069,24.9697146,2h+k+s,2,1,59 m²,2009,1 346 €/kk 
LINNANKOSKENKATU 4 B,60.1852943,24.9199337,2H+KK,2,0,"35,5 m²",1937,998 €/kk 
HENRIKINTIE 7 D,60.2262548,24.8489454,2H+KK,2,0,41 m²,1991,849 €/kk 
Pitäjänmäentie 15 A,60.22405939999999,24.8609356,2h+k+kh+vh,2,0,56 m²,1957,875 €/kk 
Tankomäenkatu 9,60.22624379999999,25.1244972,2H+KT,2,0,40 m²,2017,920 €/kk 
Kivipadontie 6h B,60.233337,24.948913,1h+kt,1,0,28 m²,2023,800 €/kk 
