Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Kalliolanrinne 6,60.1880986,24.9462465,2h + kk + s,2,1,46 m²,2000,1 000 €/kk 
Pohjoisranta 24 A,60.17586170000001,24.9600766,2h+k,2,0,"56,5 m²",1961,1 285 €/kk 
Markkinatie 15 B,60.2507961,25.0012144,2h+k+kph+p,2,0,"56,5 m²",1982,950 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,3H+KT,3,0,"58,5 m²",2023,1 425 €/kk 
Kotkankatu 9,60.1922188,24.9437842,1H+KT,1,0,"31,5 m²",1957,950 €/kk 
Vuotie 47 C,60.207069,25.148776,2H+KT+VIH,2,0,"49,5 m²",2023,1 149 €/kk 
Näyttelijäntie 24 F,60.2315822,24.8923989,2h+kt,2,0,50 m²,1959,999 €/kk 
Neljäs linja 3-5,60.1822076,24.9531923,1H+KK,1,0,"29,9 m²",1946,816 €/kk 
Välimerenkatu 8,60.15959009999999,24.9184003,3H+K,3,0,66 m²,2017,1 620 €/kk 
Haagan Pappilantie 2,60.2185209,24.8954471,3h+k+p,3,0,74 m²,1969,1 420 €/kk 
Kokkokalliontie 9 J,60.2305905,24.8516331,3h+kt+s+p,3,1,68 m²,2014,1 254 €/kk 
Von Daehnin katu 8,60.23115559999999,25.0453095,2H+K,2,0,56 m²,2012,1 030 €/kk 
Kangaspellontie 1 A,60.2096317,24.8857316,3h+k,3,0,62 m²,1959,1 295 €/kk 
Metsänhoitajankatu 12,60.2330802,25.0428819,2h+k+s,2,1,"57,5 m²",2008,995 €/kk 
Uudenmaankatu 19-21 B,60.16404929999999,24.9392116,2 h k kph p,2,0,"59,5 m²",1984,1 200 €/kk 
Gustav Pauligin katu 7 A,60.2051502,25.1516387,2H+KT+S,2,1,"51,5 m²",2013,998 €/kk 
Rukkilantie 7-9 A 5,60.25145980000001,24.8647514,2h+kk+s+p,2,1,"50,5 m²",2000,860 €/kk 
Vaniljakuja 3,60.20544039999999,25.1547045,"2h, avok, s",2,1,46 m²,2003,895 €/kk 
Lokkalantie 14,60.1992607,24.8797262,"2 h, kt, kh, ranskalainen parv",2,0,"46,6 m²",1967,1 205 €/kk 
Laivalahdenportti 3,60.1923723,25.0335358,2H+KT+S,2,1,"64,5 m²",1996,1 005 €/kk 
Hilapellontie 4,60.2402738,24.8373125,4H+K,4,0,70 m²,1969,1 280 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,31 m²,2023,930 €/kk 
TUHKIMONTIE 3-5 B,60.1967192,25.0515087,3H+K,3,0,"68,5 m²",1960,1 200 €/kk 
Kalliolanrinne 4,60.1881197,24.9470297,1h+kt,1,0,26 m²,2020,850 €/kk 
Kanavakatu 3,60.1661508,24.9648117,1h + avok,1,0,17 m²,1929,850 €/kk 
Saaristolaivastonkatu 10,60.1665836,25.0159558,3h + avok + kph + wc + terassiparveke,3,0,"66,5 m²",2020,1 590 €/kk 
Kylänevantie 6 A,60.2125591,24.8972517,"2h, kk, parveke",2,0,38 m²,1960,780 €/kk 
